@relation ionosphere-weka.filters.unsupervised.attribute.Standardize

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute class {b,g}

@data
0.347937,0,0.720619,0.120829,0.767382,0.013196,0.913227,0.204282,0.935129,-0.18389,0.83961,0.074916,0.850419,0.30203,0.839809,0.463157,0.765899,0.545184,0.761928,0.684514,0.815368,0.595724,0.639012,0.859551,0.632371,0.821576,0.276788,0.903591,0.432716,0.961106,0.376907,0.923184,0.369562,1.05597,g
0.347937,0,-1.28859,-0.100517,-1.156208,-0.25149,-1.116596,-0.229209,-2.685744,-2.441548,-0.84505,-0.313329,0.963054,-2.209485,-0.527182,-0.155185,-2.23609,-2.005756,-2.170624,-1.880216,1.087691,-1.945894,-1.594116,-1.787057,1.043935,2.106585,-2.986491,-0.237193,1.079303,-1.913666,-0.61684,1.954525,-0.66843,-0.030918,b
0.347937,0,0.720619,0.081004,0.705346,-0.26195,0.845898,-0.243073,0.72565,-0.455875,0.929584,-0.284651,0.901754,-0.217781,0.942532,-0.19164,0.97573,0.027451,0.881622,-0.124173,1.005963,-0.061633,0.967068,0.059713,1.012195,0.179386,0.767291,0.071265,1.079303,-0.060088,1.006549,-0.060062,1.09611,-0.109345,g
0.347937,0,0.720619,-0.957677,0.091528,0.393678,0.200049,-0.696304,0.696186,0.016213,0.929584,-0.85953,0.18115,-0.188763,0.425014,-0.273103,-0.093248,-0.427978,0.573143,-0.294052,0.467221,0.0883,0.65304,0.365046,-0.077422,-0.444672,0.133027,-0.276519,0.358291,-0.398372,0.660065,-1.150362,0.314058,-0.550287,g
0.347937,0,0.387633,0.785706,-0.1167,1.453746,-0.8664,1.487585,-1.664594,1.352554,-2.08882,0.890428,-2.036402,0.253957,-1.820662,-0.682357,-1.584234,-1.238668,-0.882898,-1.644933,-0.34814,-1.734842,0.246145,-1.264814,0.683369,-0.405419,0.558769,0.284928,0.499187,1.021109,0.040082,1.370598,-0.744635,1.665381,g
0.347937,0,-1.28859,-0.100517,0.767382,0.870968,-1.116596,-0.229209,-0.792675,-2.441548,-0.84505,-0.313329,-0.644182,-0.188763,-2.05898,-0.644178,-1.519463,-1.669518,0.65469,1.26281,-0.552115,-0.01601,0.284885,0.785062,-2.24592,1.021578,0.887941,-1.691672,-2.39361,1.660788,-0.61684,0.007387,-0.66843,-0.030918,b
0.347937,0,-2.607134,0.253442,-1.035983,-0.25149,-1.116596,-0.109189,0.22315,-0.245624,-0.512306,-0.313329,-0.694408,0.00068,-0.431445,-0.155185,-0.365197,-0.307256,0.124724,-0.676154,-0.552115,-0.196937,-0.600356,0.108835,-0.630796,-0.781844,-0.988737,0.126426,-1.905231,0.116457,-0.671522,0.007387,-0.66843,0.169258,b
0.347937,0,0.684092,-0.100517,0.548612,-0.183544,0.634106,-0.141412,0.568274,-0.374796,0.381063,-0.221477,0.631047,-0.018295,0.654109,0.053794,0.396946,0.519699,0.514845,0.291469,0.606801,0.22731,0.535909,0.364648,0.603881,0.586942,0.201798,0.400741,0.511013,0.108622,0.445571,0.327983,0.457343,0.333712,g
0.347937,0,0.364065,-0.272049,0.391551,-0.246477,0.659784,-0.252521,0.702793,-0.530092,0.447452,-0.550467,0.715925,-0.087141,0.746063,-0.316605,0.592264,0.142255,0.676789,0.16877,0.87063,-0.061748,0.705511,-0.005146,0.602256,0.093387,0.436899,0.076774,0.628623,-0.095266,0.609058,-0.074782,0.832326,-0.004997,g
0.347937,0,0.199913,0.012161,0.364851,-0.196304,0.478338,-0.156371,0.296711,-0.169195,0.35817,0.316237,0.576257,-0.04028,0.616994,0.028989,0.525648,-0.150803,0.441889,0.046284,0.596093,0.203128,0.528936,0.339849,0.473723,0.443735,0.193604,0.373833,0.48382,0.400212,0.428842,0.293558,0.430844,0.291798,g
0.347937,0,0.546883,1.747683,-2.559908,1.918601,-1.917686,0.841075,-0.902838,0.239649,-1.175114,-0.520294,-0.694939,-0.370022,-0.505722,-0.229426,-0.600092,-0.003529,-0.568399,0.048152,-0.551328,-0.014563,-0.600406,0.109195,-0.684872,0.140035,-1.049295,0.126426,-0.657153,0.054938,-0.61684,0.007387,-0.66843,-0.030918,b
0.347937,0,0.599504,0.535635,0.392012,0.894774,0.064092,1.175516,-0.319955,1.289167,-0.653443,1.513668,-0.96587,1.616449,-1.135765,1.637316,-1.570011,1.272816,-1.792271,0.823973,-1.884654,0.348506,-1.947183,0.027615,-1.986106,-0.388683,-2.274313,-0.717862,-1.463251,-1.154691,-1.078603,-1.371868,-0.839419,-1.552749,g
0.347937,0,0.720619,-0.744508,0.767382,-0.801521,0.804084,-0.903121,0.9627,-1.00652,0.800675,-1.304745,0.815478,-1.080285,0.632741,-1.44015,0.510551,-1.160663,0.378178,-1.062976,0.570479,-1.385745,0.30173,-1.54679,0.16597,-1.302164,-0.361486,-1.25631,-0.199563,-1.485278,-0.326298,-1.416847,-0.400686,-1.525568,g
0.347937,0,-0.000245,-0.068735,-0.499379,-0.304418,-0.045844,-0.162651,-0.62463,-0.122756,-0.076403,-0.217233,-0.291378,-0.090192,-0.078856,-0.155185,-0.026049,0.007281,-0.067574,0.187246,-0.112172,0.219339,-0.207854,0.219043,-0.305341,0.331856,-0.675315,0.228985,-0.354836,0.16329,-0.275413,0.007387,-0.341776,0.125315,g
0.347937,0,0.709549,-0.088602,0.461185,-0.496992,0.674459,-0.544734,0.944182,-0.504113,0.867188,-0.464819,0.725521,-0.128828,0.807948,-0.610014,0.90104,-0.253951,0.995726,-0.125849,0.921677,-0.014563,0.854442,-0.002681,0.929284,-0.250805,0.647319,-0.197304,0.98022,-0.271476,0.787453,-0.493826,0.796873,-0.624379,g
0.347937,0,0.720619,-0.185015,0.767382,-0.411708,0.905128,-0.441191,0.959505,-0.580045,0.910791,-0.592502,0.909597,-0.627159,0.932437,-0.702755,0.858242,-0.685204,0.872504,-0.573125,0.923562,-0.685506,0.855072,-0.604835,0.805592,-0.705442,0.561946,-0.657574,0.756895,-0.78355,0.746612,-0.926791,0.768729,-1.10177,g
-2.865899,0,-1.28859,-0.100517,0.767382,1.918601,-1.116596,-0.229209,0.9627,1.691956,-0.84505,-0.313329,0.963054,-2.209485,-0.527182,-0.155185,-0.61802,0.007281,-0.57386,0.046284,-0.552115,-0.01601,-0.600356,0.108835,-0.68482,0.139995,0.887941,-1.691672,-0.657153,0.054938,-2.366672,1.954525,-0.66843,-0.030918,b
0.347937,0,0.034374,0.887556,-0.296729,1.371825,-1.008629,1.405088,-1.641046,1.322814,-2.056291,0.745809,-1.997652,-0.04507,-1.795679,-0.781818,-1.379031,-1.43657,-0.64985,-1.610545,-0.170172,-1.48882,0.338134,-0.879455,0.599645,-0.226675,0.398949,0.557552,0.127464,1.217812,-0.257267,1.502088,-1.023017,1.556741,g
0.347937,0,0.068571,0.002057,0.32459,-0.480782,0.453635,-0.156736,0.292924,-0.468379,0.300086,-0.290451,0.429323,-0.470896,0.576861,-0.204578,0.627586,0.181992,0.414329,-0.106392,0.691661,-0.474821,0.624652,-0.170183,0.782997,-0.156842,0.382056,0.020958,0.50266,0.099507,0.895278,0.080872,0.732243,-0.014797,g
0.347937,0,-0.375304,0.105425,0.067888,-0.054207,-0.563002,0.119942,0.245554,-0.374796,-0.199722,-0.497053,0.086387,-0.372467,0.217455,-0.184485,0.411655,-0.35873,0.151949,0.046284,0.044184,-0.191456,-0.148642,0.453546,-0.056175,-0.038787,-0.382059,0.094282,-0.18357,0.054938,0.019469,0.007387,-0.113866,-0.070035,g
-2.865899,0,-1.28859,-0.100517,0.767382,1.918601,0.913227,1.691099,-1.009432,-0.374796,-0.84505,-0.313329,-2.251418,-2.209485,-0.527182,-0.155185,-2.23609,-2.005756,-0.57386,0.046284,-0.552115,-0.01601,1.055911,2.004727,-0.68482,0.139995,0.887941,1.944525,-0.657153,0.054938,-2.366672,1.954525,-0.66843,-0.030918,b
0.347937,0,0.530689,0.830832,0.100935,1.370892,-0.509252,1.612462,-1.272554,1.646901,-1.772048,1.369373,-1.924458,0.924372,-2.007373,0.17625,-2.122841,-0.507131,-1.721342,-1.097653,-1.233389,-1.660368,-0.637622,-1.669284,-0.056971,-1.538843,0.259082,-1.000049,0.835799,-0.498693,0.934456,0.198206,0.775999,0.957707,g
0.347937,0,0.720619,-0.020574,0.767382,0.145225,0.913227,0.28866,0.9627,0.143297,0.929584,0.26826,0.963054,0.592105,1.004615,0.535828,1.00005,1.329866,1.022903,1.083627,1.087691,1.166372,1.055911,1.236075,0.864024,1.483687,0.684572,1.424076,0.829444,1.376836,0.684843,1.674351,0.69943,1.588364,g
-2.865899,0,0.720619,2.164823,0.767382,-2.421581,-1.116596,-0.229209,-1.009432,-0.374796,-2.619684,-2.334276,-0.644182,-0.188763,-0.527182,-0.155185,-2.23609,2.020317,1.022903,1.972783,-2.191921,1.913874,-2.256623,2.004727,1.043935,-1.826594,0.887941,1.944525,-2.39361,2.023542,1.132992,1.954525,-0.66843,-0.030918,b
0.347937,0,-0.232911,-0.177312,0.669567,-0.067574,-0.050086,-0.554682,-0.407774,-0.409827,0.057298,-0.587349,0.39099,0.393488,0.744991,-0.931696,0.259572,0.041402,0.319242,0.111592,0.42065,0.572759,0.831337,0.205241,0.018403,0.439979,0.254219,0.12159,0.490679,-0.011798,0.836413,-0.289629,0.790846,-0.248048,g
0.347937,0,0.720619,1.209302,0.767382,-2.421581,0.913227,-2.149516,0.9627,-2.441548,0.929584,-2.334276,0.963054,-2.209485,1.004615,-2.336826,1.00005,-2.005756,1.022903,-1.880216,1.087691,-1.2279,1.055911,-1.787057,1.043935,-1.826594,0.887941,-1.691672,1.079303,-1.913666,1.132992,-1.939751,1.244848,-2.166132,b
0.347937,0,-0.786288,0.277047,-0.258526,0.327209,-0.730199,0.231012,-0.856276,0.037294,-0.826061,-0.011763,-0.682225,0.017108,-0.583629,-0.017371,-0.678957,0.076892,-0.625436,0.075798,-0.592684,-0.00912,-0.628943,0.103659,-0.703784,0.129395,-1.061305,0.115772,-0.662259,0.044701,-0.618397,-0.000557,-0.667951,-0.037132,g
0.347937,0,0.538424,0.098629,0.508236,0.114995,0.913227,0.089524,0.078928,1.033778,0.400867,0.428743,-0.382428,0.674873,0.35544,0.850246,0.20828,1.006109,-0.06866,0.296093,0.068125,1.035043,-0.082375,1.167236,-0.25512,1.251649,-0.688449,1.155561,-0.437752,1.159345,-0.495629,1.0795,-0.436215,1.415454,g
0.347937,0,0.593195,0.694776,0.29137,1.172958,-0.191585,1.471723,-0.707242,1.604657,-1.231477,1.632864,-1.552833,1.496458,-1.733488,1.111148,-2.124508,0.531073,-2.069086,-0.077359,-1.979205,-0.806278,-1.678238,-1.170209,-1.320985,-1.530642,-1.137961,-1.532061,-0.18258,-1.633376,0.342541,-1.348074,0.763238,-0.974106,g
0.347937,0,0.720619,0.929193,0.767382,-1.237905,0.913227,-0.054633,0.9627,-0.562684,0.929584,-0.313329,0.963054,-0.739875,1.004615,-0.551851,1.00005,0.190286,1.022903,0.046284,1.087691,-0.717793,1.055911,0.281191,1.043935,-0.038787,0.887941,0.037085,1.079303,0.949767,1.132992,-0.523656,1.244848,-0.419143,g
0.347937,0,0.590764,0.208588,0.646503,0.298824,0.623064,0.515467,0.549321,0.599202,0.438933,0.898068,0.4047,1.326778,0.251431,1.450197,0.055566,1.672907,-0.166063,1.702149,-0.327265,1.63626,-0.592174,1.793695,-0.812074,1.708941,-1.455994,1.544616,-1.233119,1.461585,-1.291085,1.260623,-1.575687,1.161278,g
0.347937,0,0.714612,0.39054,0.61284,0.769104,0.444379,0.969351,0.041951,1.239751,-0.192446,1.470986,-0.481739,1.494741,-0.631758,1.792453,-1.075432,1.458137,-1.271758,1.234703,-1.466618,0.91265,-1.676929,0.782521,-1.802598,0.45284,-2.340449,0.167824,-1.783627,-0.210075,-1.572511,-0.439462,-1.571516,-0.778926,g
0.347937,0,0.622429,-0.091026,0.674722,-0.310581,0.78003,-0.266079,0.856008,-0.341604,0.86765,-0.247021,0.869368,-0.040644,0.922281,-0.184114,0.954307,0.010099,0.940415,0.162606,0.967493,0.146332,0.942026,0.300074,0.9492,0.166761,0.762448,0.215968,0.960512,0.215734,1.029157,0.006705,1.081894,0.069693,g
0.347937,0,0.720619,-0.527058,0.633404,-1.036108,-1.337197,-2.026559,0.9627,-0.468813,0.057777,-1.682379,-0.090779,-1.597348,-1.318892,-2.282612,-0.529042,-1.245573,-0.045188,-1.880216,-0.767766,-0.890248,-0.899412,-0.568643,-1.03631,-0.382508,-1.445785,-0.208122,-0.987775,-0.173282,-0.907767,-0.115049,-0.931276,-0.083167,b
0.347937,0,0.531914,-0.138054,0.731256,-0.294653,0.825762,-0.299223,0.681592,-0.372523,0.747223,-0.380323,0.787238,-0.217781,0.860749,-0.254013,0.860588,-0.010514,0.715894,-0.202774,0.902868,0.007438,0.925976,0.06485,0.889212,0.098717,0.677695,-0.014658,0.78381,-0.28441,1.063384,-0.065767,1.003832,-0.377741,g
0.347937,0,0.522029,0.275688,0.369179,0.559669,0.364972,0.740835,0.169587,1.133871,-0.058834,1.326711,-0.251824,1.579227,-0.428565,1.700038,-0.822075,1.766594,-1.032754,1.580105,-1.316839,1.256247,-1.546664,1.12892,-1.863122,0.925668,-2.441049,0.596132,-1.913809,0.275776,-1.867532,-0.100192,-1.963699,-0.455911,g
0.347937,0,0.720619,0.105425,0.679954,-0.448773,0.45191,-0.229209,0.9627,-0.374796,0.848927,-0.313329,0.963054,-0.096921,0.86536,-0.254341,1.00005,0.007281,1.022903,0.046284,0.864087,0.159436,0.679491,0.281191,0.886774,0.229377,0.724072,0.179097,1.000381,0.233904,0.894385,-0.169627,0.983953,0.066127,g
0.347937,0,0.084042,0.021245,0.475054,-0.247106,0.595377,-0.223429,0.653075,-0.170167,0.500353,-0.230429,0.672016,-0.176942,0.709561,-0.140503,0.6865,-0.243282,0.670577,-0.021837,0.700123,0.001533,0.635799,0.127377,0.691822,0.056553,0.322739,0.146353,0.42353,0.283257,0.548968,0.030558,0.563855,-0.004719,g
0.347937,0,0.711357,-0.233923,0.483517,-0.201447,0.576236,-0.953318,0.9627,-0.297086,0.667701,-0.672148,0.316222,-1.096977,0.400107,-0.989074,0.746919,-0.768584,0.355648,-0.573895,0.382099,-0.588684,0.011568,-0.789002,0.297303,-0.866328,-0.253506,-0.712953,-0.287879,-0.616159,0.122762,-1.05355,-0.311776,-0.99817,g
0.347937,0,0.058886,-0.04325,0.125403,-0.142312,0.044402,0.13106,-0.836358,0.329574,0.28399,-0.068167,0.353895,0.099897,0.677377,0.084272,0.326496,0.372667,-0.344006,0.840464,0.331543,0.395557,0.251296,0.537781,0.15947,0.606549,-0.154921,0.574006,0.097042,0.553113,0.094694,0.509593,1.244848,0.674471,g
0.347937,0,0.720619,2.164823,-1.156208,-0.25149,-1.116596,-0.229209,-1.009432,-0.374796,0.002231,-2.113952,-1.471973,0.730443,-1.98988,0.468131,0.428256,2.020317,-0.57386,0.046284,-0.552115,-0.01601,0.427026,0.49372,-2.413575,-1.826594,0.887941,-1.691672,1.079303,2.023542,-0.61684,0.007387,-0.66843,-0.030918,b
0.347937,0,0.720619,-0.423011,0.767382,-0.60426,0.913227,-0.683477,0.9627,-0.530092,0.929584,-0.818768,0.963054,-0.717404,1.004615,-0.634601,1.00005,-0.769872,1.022903,-0.843027,1.087691,-0.701486,1.055911,-1.022273,1.043935,-0.796947,0.865082,-0.776932,1.079303,-1.437658,1.132992,-1.467784,1.244848,-1.833828,g
0.347937,0,-0.701861,0.207161,-0.284225,0.113259,-0.065492,-0.238983,0.028541,0.056804,0.085959,-0.649574,0.117133,-0.284828,0.323241,-0.069992,0.70336,-0.443861,0.103886,-0.035477,0.021407,0.111767,-0.13357,-0.287084,0.209482,0.077536,-0.073519,0.065502,-0.055732,0.248786,0.622006,-0.028986,0.088444,-0.0998,g
0.347937,0,0.720619,0.016125,0.755128,-0.031811,0.834917,0.054152,0.87421,-0.922403,0.32667,0.79215,0.648454,0.322136,0.602993,0.442148,0.462446,0.585304,0.37805,0.610825,0.308684,0.547516,0.154603,0.648709,-0.010208,0.675419,-0.41135,0.591005,-0.181694,0.518899,-0.224405,0.423646,-0.322394,0.376545,g
0.347937,0,0.720619,-2.365858,-1.156208,-0.25149,0.465469,-2.135402,0.585668,0.764956,-1.588835,-2.230258,-0.644182,-0.188763,-0.527182,-0.155185,0.547945,-1.546904,0.600224,-1.11528,-0.552115,-0.01601,-0.295901,-1.787057,-2.413575,-1.826594,-2.986491,-1.691672,1.079303,-1.913666,1.132992,-1.939751,-0.66843,-0.030918,b
0.347937,0,0.720619,-0.061803,0.694574,-0.319674,0.913227,-0.29519,0.9627,-0.479601,0.912299,-0.456654,0.949762,-0.370668,1.004615,-0.498292,1.00005,-0.279718,0.995918,-0.181294,1.087691,-0.373405,1.055911,-0.256541,1.026146,-0.294287,0.819945,-0.241611,0.985517,-0.282146,1.070628,-0.431907,0.996332,-0.528337,g
0.347937,0,0.495668,0.763438,0.111938,1.255226,-0.524943,1.458588,-1.142077,1.488071,-1.547752,1.312342,-1.682039,0.952985,-1.797961,0.431807,-1.895324,-0.157889,-1.576308,-0.549814,-1.316871,-1.089122,-0.872795,-1.110944,-0.519516,-1.060706,-0.460245,-0.753388,0.093464,-0.532454,0.206089,-0.176832,0.138055,0.237179,g
0.347937,0,0.216629,-0.042774,0.74803,-0.038994,0.423127,0.018069,0.456118,-0.564689,0.855795,-0.263169,0.92964,-0.19824,0.945028,0.067233,0.862222,0.08289,0.560257,0.097972,0.779751,-0.171327,1.055911,0.108835,0.555804,0.116259,0.544492,0.172824,0.600649,0.033815,0.965166,0.222857,0.725144,0.0278,g
0.347937,0,0.641999,0.094755,0.705057,0.166882,0.832562,0.297935,0.924125,0.349642,0.803,0.621986,0.7423,0.872459,0.741453,1.127489,0.567086,1.397584,0.527955,1.455326,0.341136,1.312136,0.200267,1.553448,0.017314,1.608821,-0.402226,1.64992,-0.224012,1.749139,-0.376133,1.698184,-0.495316,1.811451,g
0.347937,0,-1.211195,-0.042343,-1.147975,-0.25149,-1.07606,-0.267557,-0.967228,-0.477989,-0.93112,-0.339278,-0.621247,-0.234876,-0.527182,-0.226765,-0.694199,-0.050151,-0.601197,0.114983,-0.517023,-0.00775,-0.51529,0.065571,-0.596031,0.176456,-0.971903,0.154952,-0.622476,0.068974,-0.661776,-0.028713,-0.695732,0.011722,b
0.347937,0,-1.28859,-0.100517,-1.156208,-0.25149,0.913227,1.691099,-2.981564,-2.441548,-0.84505,-0.313329,0.963054,-0.413285,-0.527182,-0.155185,-0.61802,0.007281,-2.170624,1.972783,1.087691,1.913874,1.055911,-1.787057,-0.68482,0.139995,0.887941,-1.691672,-0.657153,0.054938,-0.61684,0.007387,1.244848,2.104295,b
